,TICK,GP/A,PBR
0,AAPL,0.125201240488739,34.01019933317227
1,MSFT,0.09496378276894953,15.0999591643478
2,AMZN,0.1440589050265415,18.34734500655218
3,FB,0.14350096663235332,6.781019472757035
4,GOOGL,0.09642195634761715,6.937059692573154
5,GOOG,0.09642195634761715,6.9370685271407
6,TSLA,0.03961801027843829,31.94964481727784
7,BRKB,,
8,JPM,0.00918852558023739,1.861496882984143
9,JNJ,0.08400516884512906,6.750069218369734
10,V,0.06855991843433716,14.684082407812683
11,NVDA,0.10961758882984265,23.360563827384123
12,UNH,0.07989801762896057,5.643968905895466
13,HD,0.1534548957934855,106.92880776962716
14,MA,0.12267746545974273,60.02294166171178
15,DIS,0.022160802028847678,4.043315747499138
16,PG,0.08735180498201678,7.145961136671177
17,PYPL,0.04139018741385925,15.829837941955143
18,BAC,0.0071094510018523726,1.3537398223288541
19,INTC,0.07412584671861834,3.253839594461857
20,ADBE,0.12337341459397135,18.922515763570566
21,CMCSA,0.06671072666128697,2.7948604761135036
22,XOM,0.048003005259203604,1.5263840046834234
23,VZ,0.06278417977698503,3.556486969605849
24,NFLX,0.06311760032539418,21.875695516409948
25,CSCO,0.08142174245039278,5.6979758480611435
26,ABT,0.08555714837073386,6.719428529038556
27,T,0.04332957370364101,1.3224031247270724
28,PFE,0.057038559544573326,3.4022208439229575
29,KO,0.05765441715542522,11.986308238147053
30,CRM,0.06542887739249785,5.147593928614465
31,CVX,0.04777513657783894,1.5074499269789199
32,PEP,0.12975957295680063,14.804205619146723
33,WMT,0.14581617134528863,4.894757303083102
34,TMO,0.08047558361814285,5.614105535456574
35,MRK,0.09732716076341878,7.745776255954497
36,AVGO,0.06289300005196695,8.154629061694406
37,ABBV,0.06939195696210938,14.564300940960539
38,ACN,0.10186746940569183,10.186537898833501
39,TXN,0.1367371195287065,19.282999619462284
40,MCD,0.052828596836592766,-22.22396456031387
41,MDT,0.05335663616736918,3.3440148128767877
42,NKE,0.1399988517625445,19.94415234887218
43,COST,0.09548798512048093,11.040121350201884
44,HON,0.045272969374167776,9.18623310365263
45,WFC,0.00929590013722641,1.1027826510028793
46,NEE,0.018984367657654835,4.348033959630817
47,LLY,0.12266394470880126,32.16981672149745
