,TICK,GP/A,PBR,PER,PSR,MOM_avg,1M,3M,6M,12M
0,AAPL,0.125201240488739,33.93369744697066,79.51190476190477,20.513883920351045,1.2846870211636643,1.0988450822186453,0.9528157360949462,1.160707315617138,1.9263799507239276
1,MSFT,0.09496378276894953,14.749406106958688,125.39901477832514,45.007172439409416,1.2164306548816437,1.080612965315983,1.1030976242481414,1.2008207952848322,1.4811912346776186
2,AMZN,0.1440589050265415,18.624746760527277,244.41696113074204,14.048305523475767,1.1790307551088433,1.1204355491731208,1.053909304607753,1.0795504560668765,1.4622277105876222
3,FB,0.14349468979889027,6.81992813647851,79.35400516795866,31.59505539524777,1.2440687505297248,1.0752274206743209,1.1204144721203313,1.1035449343738015,1.6770881749504458
4,GOOGL,0.09642195634761715,7.15757689030858,106.21521837010356,30.399517002355093,1.4468493283780537,1.1607461269763402,1.2580339211577638,1.4868523981233004,1.8817648672548104
5,GOOG,0.09642195634761715,7.220898677858066,107.15488518685275,30.668456028331402,1.4535615066402099,1.1647360880023847,1.2633514551758231,1.4935157746977132,1.8926427086849187
6,TSLA,0.03961801027843829,28.889397374825784,2733.8582677165355,69.99583023082651,2.063768682469904,1.0777487996373278,0.8082078090134559,1.6533071428854282,4.715810978343406
7,BRKB,,,2733.8582677165355,69.99583023082651,2.063768682469904,1.0777487996373278,0.8082078090134559,1.6533071428854282,4.715810978343406
8,JPM,0.008613227543072782,1.6617453620570142,40.060526315789474,15.431424697113965,1.3347076988651143,1.0032423996472513,1.155752928829678,1.5142994133295744,1.6655360536539534
9,JNJ,0.08382791862499571,6.738749682782033,249.2,19.248052769744156,1.0404186291336102,1.000296389811156,0.9730671174363328,1.1304479071278528,1.0578631021590992
