,Unnamed: 0,TICK,GP/A,PBR,GP/A rank,PBR rank,magic rank
3,3,FB,0.14350096663235332,6.801394941585469,3.0,7.0,10.0
19,19,INTC,0.07412584671861834,2.8711167703052887,13.0,3.0,16.0
2,2,AMZN,0.1440589050265415,18.666102949937905,2.0,14.0,16.0
4,4,GOOGL,0.09642195634761716,7.170572626069451,7.5,9.0,16.5
9,9,JNJ,0.08400516884512907,6.739250983153702,11.0,6.0,17.0
12,12,UNH,0.07989801762896058,5.6870284725534805,12.0,5.0,17.0
5,5,GOOG,0.09642195634761716,7.183403951973543,7.5,10.0,17.5
16,16,PG,0.08735180498201678,6.801788362652233,10.0,8.0,18.0
1,1,MSFT,0.09496378276894953,14.742064449645259,9.0,11.0,20.0
8,8,JPM,0.00918852558023739,1.8485039610736047,18.0,2.0,20.0
18,18,BAC,0.007109451001852373,1.38416868305329,19.0,1.0,20.0
13,13,HD,0.1534548957934855,104.20083948832979,1.0,19.0,20.0
15,15,DIS,0.02216080202884768,3.9597546386268743,17.0,4.0,21.0
0,0,AAPL,0.12520124048873899,33.86316688668761,4.0,17.0,21.0
11,11,NVDA,0.10961758882984264,22.827242465873443,6.0,15.0,21.0
14,14,MA,0.12267746545974273,61.49642494758254,5.0,18.0,23.0
10,10,V,0.06855991843433716,15.140669537592654,14.0,12.0,26.0
17,17,PYPL,0.04139018741385925,15.901400805235026,15.0,13.0,28.0
6,6,TSLA,0.03961801027843829,29.989771938987626,16.0,16.0,32.0
7,7,BRKB,,,,,
