DATE,BAMLEMCBPIOAS
2015-06-25,3.51
2015-06-26,3.49
2015-06-29,3.64
2015-06-30,3.63
2015-07-01,3.56
2015-07-02,3.59
2015-07-03,3.59
2015-07-06,3.65
2015-07-07,3.72
2015-07-08,3.77
2015-07-09,3.73
2015-07-10,3.64
2015-07-13,3.62
2015-07-14,3.64
2015-07-15,3.66
2015-07-16,3.62
2015-07-17,3.60
2015-07-20,3.58
2015-07-21,3.61
2015-07-22,3.62
2015-07-23,3.67
2015-07-24,3.71
2015-07-27,3.81
2015-07-28,3.81
2015-07-29,3.77
2015-07-30,3.75
2015-07-31,3.76
2015-08-03,3.80
2015-08-04,3.76
2015-08-05,3.75
2015-08-06,3.82
2015-08-07,3.86
2015-08-10,3.84
2015-08-11,3.90
2015-08-12,3.92
2015-08-13,3.89
2015-08-14,3.90
2015-08-17,3.93
2015-08-18,3.94
2015-08-19,4.02
2015-08-20,4.09
2015-08-21,4.17
2015-08-24,4.38
2015-08-25,4.29
2015-08-26,4.32
2015-08-27,4.22
2015-08-28,4.15
2015-08-31,4.17
2015-09-01,4.22
2015-09-02,4.23
2015-09-03,4.25
2015-09-04,4.25
2015-09-07,4.26
2015-09-08,4.25
2015-09-09,4.24
2015-09-10,4.27
2015-09-11,4.32
2015-09-14,4.33
2015-09-15,4.26
2015-09-16,4.24
2015-09-17,4.31
2015-09-18,4.31
2015-09-21,4.31
2015-09-22,4.45
2015-09-23,4.47
2015-09-24,4.59
2015-09-25,4.58
2015-09-28,4.69
2015-09-29,4.79
2015-09-30,4.77
2015-10-01,4.72
2015-10-02,4.76
2015-10-05,4.62
2015-10-06,4.57
2015-10-07,4.51
2015-10-08,4.49
2015-10-09,4.43
2015-10-12,4.42
2015-10-13,4.43
2015-10-14,4.50
2015-10-15,4.43
2015-10-16,4.36
2015-10-19,4.36
2015-10-20,4.33
2015-10-21,4.38
2015-10-22,4.37
2015-10-23,4.27
2015-10-26,4.24
2015-10-27,4.27
2015-10-28,4.28
2015-10-29,4.25
2015-10-30,4.24
2015-10-31,4.24
2015-11-02,4.07
2015-11-03,4.00
2015-11-04,3.94
2015-11-05,3.94
2015-11-06,3.91
2015-11-09,3.96
2015-11-10,4.01
2015-11-11,4.01
2015-11-12,4.03
2015-11-13,4.09
2015-11-16,4.10
2015-11-17,4.08
2015-11-18,4.05
2015-11-19,4.02
2015-11-20,3.99
2015-11-23,3.99
2015-11-24,4.01
2015-11-25,4.05
2015-11-26,4.06
2015-11-27,4.07
2015-11-30,4.07
2015-12-01,4.14
2015-12-02,4.14
2015-12-03,4.09
2015-12-04,4.14
2015-12-07,4.19
2015-12-08,4.25
2015-12-09,4.29
2015-12-10,4.31
2015-12-11,4.47
2015-12-14,4.49
2015-12-15,4.44
2015-12-16,4.44
2015-12-17,4.42
2015-12-18,4.47
2015-12-21,4.50
2015-12-22,4.46
2015-12-23,4.44
2015-12-24,4.45
2015-12-25,.
2015-12-28,4.46
2015-12-29,4.40
2015-12-30,4.42
2015-12-31,4.45
2016-01-01,.
